country,iso3,qualifying_program_found,program_name,program_type,program_url,legal_or_official_basis,announcement_date,launch_or_effective_date,status_during_observation_period,discovery_evidence_span,discovery_source_title,discovery_source_institution,discovery_source_url,source_publication_date,source_access_date,primary_or_secondary_source,
Afghanistan,AFG,no,,,,,,,,,Guidance for Certain Afghan Nationals to Maintain Parole and Employment Authorization for up to Two Years | USCIS,U.S. Citizenship and Immigration Services,https://www.uscis.gov/i-9-central/special-employment-categories/guidance-for-certain-afghan-nationals-to-maintain-parole-and-employment-authorization-for-up-to-two,,8/11/26,primary,
Albania,ALB,no,,,,,,,,2022-2026,"Albania Digital Nomad Visa 2026: Requirements, Costs & How to Apply in July 2026 | Citizen Remote",Citizen Remote,https://citizenremote.com/visas/albania-digital-nomad-visa,,8/11/26,secondary,
Algeria,DZA,no,,,,,,,,,Algeria International Travel Information,U.S. Department of State,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Algeria.html,,8/11/26,secondary,
American Samoa,ASM,no,,,,,,,,,Know Before You Go - National Park of American Samoa,U.S. National Park Service,https://www.nps.gov/npsa/planyourvisit/know-before-you-go.htm,,8/11/26,secondary,
Andorra,AND,no,,,,,,,,,Investment Opportunities in Andorra - United States Department of State,United States Department of State,https://2021-2025.state.gov/direct-line-for-american-business/investment-opportunities-in-andorra,,8/11/26,secondary,
Angola,AGO,no,,,,,,,,,Digital Nomad Visa Countries - Official Requirements | TripPlugin,TripPlugin,https://tripplugin.com/digital-nomad-visa,,8/11/26,secondary,
Antigua and Barbuda,ATG,yes,Nomad Digital Residence Visa,Digital Nomad Visa / Residence Permit,,,2020,2020,active,2020-2025,Antigua and Barbuda - United States Department of State,United States Department of State,https://www.state.gov/reports/2025-investment-climate-statements/antigua-and-barbuda,2025,8/11/26,primary,
Argentina,ARG,yes,Digital Nomad Visa,Digital Nomad Visa / Temporary Residence,https://ctoro.cancilleria.gob.ar/en/visa-digital-nomads,"Disposición 758/2022, Article 24(h) of Migration Law 25,871",2022-05,2022-05,active,2022-2026,Visa for Digital Nomads,Consulate General in Toronto Argentine Republic,https://ctoro.cancilleria.gob.ar/en/visa-digital-nomads,,8/11/26,primary,
Armenia,ARM,no,,,,,,,,,Investment Climate Statements: Custom Report Excerpts,U.S. Department of State,https://www.state.gov/report/custom/7ec665f7e5,,8/11/26,secondary,
Aruba,ABW,no,,,,,,,,,Digital Nomad Visa For Aruba | Citizen Remote,Citizen Remote,https://citizenremote.com/visas/aruba,,8/11/26,secondary,
Australia,AUS,no,,,,,,,,,About Australia | Australian Government,Department of Foreign Affairs and Trade,https://www.dfat.gov.au/about-australia,,8/11/26,primary,
Austria,AUT,no,,,,,,,,2026,Working remotely from Austria in 2026: what the Red-White-Red Card can (and can't) do for you,Remote Work Europe,https://remoteworkeurope.eu/insights/austria-red-white-red-card-remote-work,2026,8/11/26,secondary,
Azerbaijan,AZE,no,,,,,,,,,State Migration Service,State Migration Service of the Republic of Azerbaijan,https://migration.gov.az/en/page/75,,8/11/26,primary,
Bahrain,BHR,no,,,,,,,,,Investment Climate Statements: Custom Report Excerpts,U.S. Department of State,https://www.state.gov/report/custom/7ec665f7e5,,8/11/26,secondary,
Bangladesh,BGD,no,,,,,,,,,"Visa - Consulate General of the People's Republic of Bangladesh, Dubai","Consulate General of the People's Republic of Bangladesh, Dubai",https://bcgdubai.gov.bd/visa-consulate-general-of-the-peoples-republic-of-bangladesh-dubai,,8/11/26,primary,
Barbados,BRB,yes,Barbados Welcome Stamp,Digital Nomad Visa,,"Remote Employment Act, 2020",2020-07,2020,active,2020-2026,Barbados - United States Department of State,United States Department of State,https://2021-2025.state.gov/reports/2024-investment-climate-statements/barbados,,8/11/26,primary,
Belarus,BLR,no,,,,,,,,,"Travel Visas, Belarus | Belarus.by",Official website of the Republic of Belarus,https://www.belarus.by/en/travel/travel-visas,,8/11/26,secondary,
Belgium,BEL,no,,,,,,,,,Belgium Digital Nomad Visa in July 2026 | Citizen Remote,Citizen Remote,https://citizenremote.com/visas/belgium-digital-nomad-visa,,8/11/26,secondary,
Belize,BLZ,no,,,,,,,,,"Belize Digital Nomad Visa: Requirements, Income & How to Apply | Citizen Remote",Citizen Remote,https://citizenremote.com/visas/belize-digital-nomad-visa,,8/11/26,secondary,
Benin,BEN,no,,,,,,,,2026,Benin Work Permits & Visas: Types & How to Sponsor,Playroll,https://www.playroll.com/work-permit-visas/benin,,8/11/26,secondary,
Bermuda,BMU,yes,Work from Bermuda Certificate,Digital Nomad Visa / Residence Permit,,,2020,2020,active,2020-2026,Digital Nomadism: the nexus of remote working and travel mobility,National Institutes of Health (PMC),https://pmc.ncbi.nlm.nih.gov/articles/PMC7561234,2020,8/11/26,primary,
Bhutan,BTN,no,,,,,,,,,S.H. v. THE UNITED KINGDOM,European Court of Human Rights,https://hudoc.echr.coe.int/eng?i=001-99407,,8/11/26,secondary,
Bolivia,BOL,no,,,,,,,,2026,"Working Visa Bolivia 2026: Employer Work Permits, 10% Flat Tax, No Digital Nomad Visa",GoResident,https://goresident.com/working-visa/bolivia,,8/11/26,secondary,
Bosnia and Herzegovina,BIH,no,,,,,,,,2026,Residence Permits and Work Options - Bosnia and Herzegovina 2026,TaxRavens,https://taxravens.com/en/bosnia-and-herzegovina/residence-work-permits,,8/11/26,secondary,
Botswana,BWA,no,,,,,,,,,Botswana - Business Travel,International Trade Administration,https://www.trade.gov/country-commercial-guides/botswana-business-travel,,8/11/26,secondary,
Brazil,BRA,yes,VITEM XIV,Digital Nomad Visa,,Normative Resolution No. 45/2021,2021,1/24/22,active,2021-2026,Brazil Digital Nomad Visa Requirements 2026: Checklist,GetBrazilVisa,https://getbrazilvisa.com/requirements-digital-nomad-visa-brazil,2026,8/11/26,primary,
British Virgin Islands,VGB,no,,,,,,,,,2024 Investment Climate Statements: Antigua and Barbuda,U.S. Department of State,https://2021-2025.state.gov/reports/2024-investment-climate-statements/antigua-and-barbuda,2024,8/11/26,secondary,
Brunei Darussalam,BRN,no,,,,,,,,2023-2026,Bringing Digital Nomads and the Highly Skilled into ASEAN,Economic Research Institute for ASEAN and East Asia (ERIA),https://www.eria.org/uploads/Bringing-Digital-Nomads-Highly-Skilled-into-ASEAN-web.pdf,2023-11,8/11/26,secondary,
Bulgaria,BGR,yes,Bulgaria Digital Nomad Residence Permit,Digital Nomad Visa / Residence Permit,,Law on Foreigners in the Republic of Bulgaria,2025-12,12/20/25,active,2025-2026,Bulgaria Launches the EU's Latest Digital Nomad Visa,IMI Daily,https://www.imidaily.com/europe/bulgaria-launches-the-eus-latest-digital-nomad-visa,,8/11/26,primary,
Burkina Faso,BFA,no,,,,,,,,,ilab's sweat & toil and - comply chain apps today!,U.S. Department of Labor,https://www.dol.gov/sites/dolgov/files/ILAB/legacy/files/ChildLaborReport_Book.pdf,,8/11/26,secondary,
Burundi,BDI,no,,,,,,,,2026,Burundi Digital Nomad Visa Guide 2026 | Stamped Nomad,Stamped Nomad,https://www.stampednomad.com/guides/burundi,2026,8/11/26,secondary,
Cabo Verde,CPV,yes,Remote Working Program,Digital Nomad Visa / Residence Permit,,,2020-12,2020-12,active,2020-2025,"Compliance, WFA, EOR, Visa, Digital Nomad Visa Cabo Verde",Work From Anywhere,https://wfa.team/visa/digital-nomad-visa-cabo-verde,2025-08,8/11/26,primary,
Cambodia,KHM,no,,,,,,,,,BUSINESS (Type-E) VISA - ROYAL EMBASSY OF CAMBODIA TO THE UNITED STATES OF AMERICA IN WASHINGTON D.C.,Royal Embassy of Cambodia to the United States of America,https://www.embassyofcambodiadc.org/business_visa_type-e.html,2025,8/11/26,primary,
Cameroon,CMR,no,,,,,,,,2023-2026,"Official Website Embassy of Cameroon, The Netherlands – ANNOUNCEMENT: The Government of the Republic of Cameroon has launched the electronic visa or E- Visa",Embassy of the Republic of Cameroon in the Kingdom of the Netherlands and the Grand-Duchy of Luxembourg,https://www.cameroon-embassy.nl/communique-the-government-of-the-republic-of-cameroon-has-launched-the-electronic-visa-or-e-visa,,8/11/26,primary,
Canada,CAN,no,,,,,,,,2023-2026,Canada Digital Nomad Visa (Remote Work) (2025),Rippling (Secondary Blog),https://www.rippling.com/blog/canada-digital-nomad-visa,2025,8/11/26,secondary,
Cayman Islands,CYM,no,,,,,,,,,Rise of remote work across borders: opportunities and ... - PMC,PMC / National Center for Biotechnology Information,https://pmc.ncbi.nlm.nih.gov/articles/PMC11107943,,8/11/26,secondary,
Central African Republic,CAF,no,,,,,,,,,Central African Republic - United States Department of State,United States Department of State,https://www.state.gov/reports/2025-trafficking-in-persons-report/central-african-republic,,8/11/26,secondary,
Chad,TCD,no,,,,,,,,,"Alert: Update on Visa and Entry Ban for U.S. Citizens – June 12, 2025  - U.S. Embassy in Chad",U.S. Embassy in Chad,https://td.usembassy.gov/alert-update-on-visa-and-entry-ban-for-u-s-citizens-june-12-2025,6/12/25,8/11/26,secondary,
Chile,CHL,no,,,,,,,,2021-2026,Work Remotely in Chile on Tourist Visa? 2026 Guide,Is It Legal in Chile,https://isitlegalinchile.com/remote-work,2026,8/11/26,secondary,
China,CHN,no,,,,,,,,2026,Digital Nomad In China: Visa And Remote Work Rules,HROne,https://hrone.com/blog/digital-nomads-in-china-is-it-legal-can-you-work-while-traveling,,8/11/26,secondary,
Colombia,COL,no,,,,,,,,,"Migration, Advanced Digital Technologies, and the Future of...",National Center for Biotechnology Information / PubMed Central (PMC),https://pmc.ncbi.nlm.nih.gov/articles/PMC13046257,,8/11/26,secondary,
Comoros,COM,no,,,,,,,,2026,Comoros Digital Nomad Visa Guide 2026 | Stamped Nomad,Stamped Nomad (Secondary Source),https://www.stampednomad.com/guides/comoros,2026,8/11/26,secondary,
"Congo, Dem. Rep.",COD,no,,,,,,,,2026,Democratic Republic of Congo Work Permits & Visas: Types & How to Sponsor,Playroll,https://www.playroll.com/work-permit-visas/democratic-republic-of-congo,,8/11/26,secondary,
"Congo, Rep.",COG,no,,,,,,,,2026,Republic of Congo Work Permits & Visas: Types & How to ...,Playroll,https://www.playroll.com/work-permit-visas/republic-of-congo,,8/11/26,secondary,
Costa Rica,CRI,no,,,,,,,,,Rise of remote work across borders: opportunities and ... - PMC,PubMed Central / National Institutes of Health,https://pmc.ncbi.nlm.nih.gov/articles/PMC11107943,,8/11/26,secondary,
Croatia,HRV,yes,Temporary residence permit for digital nomads,Digital Nomad Residence Permit,,Law on Foreigners (Narodne novine),2021,1/1/21,active,2021-2026,"Croatia Digital Nomad Visa 2026: Requirements, Costs, and How to Apply",Remote Work Europe,https://remoteworkeurope.eu/insights/croatia-digital-nomad-visa,2026,8/11/26,primary,
Cuba,CUB,no,,,,,,,,,Cuba Work Permits & Visas: Types & How to Sponsor,Playroll,https://www.playroll.com/work-permit-visas/cuba,,8/11/26,secondary,
Cyprus,CYP,no,,,,,,,,,Migration and mobility of third-country national labour workers ...,National Center for Biotechnology Information (Secondary citation of general immigration reference),https://pmc.ncbi.nlm.nih.gov/articles/PMC8154112,,8/11/26,secondary,
Czechia,CZE,no,,,,,,,,,MIGRATION POLICY PRACTICE,International Organization for Migration (IOM),https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,2025-09,8/11/26,secondary,
Denmark,DNK,no,,,,,,,,,Visas - U.S. Embassy & Consulate in the Kingdom of Denmark,U.S. Embassy & Consulate in the Kingdom of Denmark,https://dk.usembassy.gov/visas,,8/11/26,secondary,
Djibouti,DJI,no,,,,,,,,,E-visa to Facilitate Travel in Djibouti,International Organization for Migration (IOM),https://www.iom.int/news/e-visa-facilitate-travel-djibouti,,8/11/26,secondary,
Dominica,DMA,yes,Work in Nature (WIN) Visa,Digital Nomad Visa,https://citizenremote.com/visas/dominica,,2021-04,2021-04,,2021-2026,Digital Nomad Visa for Dominica,Citizen Remote,https://citizenremote.com/visas/dominica,,8/11/26,primary,
Dominican Republic,DOM,no,,,,,,,,,C ONTENTS MIGRATION POLICY PRACTICE,International Organization for Migration,https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,2025,8/11/26,secondary,
Ecuador,ECU,yes,Visa de Residencia Temporal Rentista Para Trabajo Remoto,Digital Nomad Visa / Temporary Residence Permit,,,2022-06,2022-06,active,2022-2026,Ecuador Digital Nomad Visa (Rentista) in June 2026,Citizen Remote,https://citizenremote.com/visas/ecuador-digital-nomad-visa,,8/11/26,primary,
"Egypt, Arab Rep.",EGY,no,,,,,,,,,Digital Nomad Visa Countries - Official Requirements | TripPlugin,TripPlugin,https://tripplugin.com/digital-nomad-visa,,8/11/26,secondary,
El Salvador,SLV,no,,,,,,,,,El Salvador Digital Nomad Visa 2025 | Work Remotely in Central America | Citizen Remote,Citizen Remote,https://citizenremote.com/visas/el-salvador-digital-nomad-visa,,8/11/26,secondary,
Equatorial Guinea,GNQ,no,,,,,,,,2023-2026,Equatorial Guinea Work Permits & Visas: Types & How to Sponsor,Playroll,https://www.playroll.com/work-permit-visas/equatorial-guinea,,8/11/26,secondary,
Eritrea,ERI,no,,,,,,,,2026,Eritrea for Digital Nomads 2026: A Closed-Country Reality,Stamped Nomad,https://www.stampednomad.com/guides/eritrea,2026,8/11/26,secondary,
Estonia,EST,yes,Estonian Digital Nomad Visa,Long-term D-visa,,Aliens Act,2020,2020-08,active,2020-2026,Estonia Digital Nomad Visa: 2026 Guide for Enterprises,Jobbatical,https://www.jobbatical.com/blog/estonia-digital-nomad-visa-income-requirement-immigration-quota,,8/11/26,primary,
Eswatini,SWZ,no,,,,,,,,2026,Visa,"Ministry of Home Affairs, Government of the Kingdom of Eswatini",https://www.gov.sz/index.php/services-sp-22242747/visa,,8/11/26,primary,
Ethiopia,ETH,no,,,,,,,,2026,Online (e-Visa) – Embassy of Ethiopia,Embassy of Ethiopia,https://ethiopianembassy.be?page_id=10346,,8/11/26,primary,
Fiji,FJI,no,,,,,,,No digital nomad visa policy available; remote workers typically use tourist entries or standard work permits.,2025-2026,Work in Fiji – Ministry of Immigration,Fiji Ministry of Immigration,https://www.immigration.gov.fj/work-in-fiji,,8/11/26,primary,
Finland,FIN,no,,,,,,,,,Living in Finland - U.S. Embassy in Finland,U.S. Embassy in Finland,https://fi.usembassy.gov/living-in-finland,,8/11/26,secondary,
France,FRA,no,,,,,,,,2025-2026,France Visa Options for Remote Workers (2026): HR Guide,Jobbatical,https://www.jobbatical.com/blog/france-remote-work-visas-for-employers,,8/11/26,secondary,
French Polynesia,PYF,no,,,,,,,,,Digital nomad visa: the complete guide - France Immigration,France Immigration,https://www.france-immigration.com/en/expert-articles/digital-nomad-visas-the-complete-guide,,8/11/26,secondary,
