Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/1/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5849816,52.69921789,53.49449693,55.02558809,57.26290683,57.98034235,58.79382718,59.93808917,63.17972254,63.66250981,62.89736941,64.97486606,66.81795134,67.52216158,67.60160692,68.86799189,69.13556325,70.78984396,72.41205487,73.19398883,71.4304441,72.78997805,73.67411276,71.90080218,73.28050201,76.3303791,75.97846867,75.78975662,76.57014458,79.50903983,78.8775769,76.1985246,74.05195156,73.43484923,74.62571695,
Africa Eastern and Southern,AFE,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.50217398,18.55142964,19.31490066,20.56658991,22.82379654,23.62115385,24.44376249,29.23370744,28.62110743,28.78043161,31.7535786,34.78632957,32.76038697,29.86474656,28.09878811,24.7614251,23.58967077,22.49639103,20.20071241,19.22219174,19.93718578,16.62633021,16.83082831,18.77698348,18.64195148,
Africa Western and Central,AFW,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.16248937,32.70618102,26.60696349,23.74136998,17.64783304,18.75749694,22.04484797,20.52896714,16.49540052,15.05361032,21.19411774,19.46917834,23.55569891,26.22886295,30.4247767,39.62407505,48.69612552,52.24548112,62.5807016,50.43398642,55.34037097,68.77726405,69.15114671,66.89223189,62.65116134,45.14081597,26.41763166,34.85420027,34.54899988,29.08799783,22.47681089,25.9967839,38.39090939,30.21545545,27.30761653,30.52747135
Albania,ALB,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.25213608,20.57404111,12.85496946,20.83133425,29.88444519,32.81859174,33.43024014,26.39582573,26.93558657,29.76220946,29.17246886,29.80368815,30.57291793,36.92471979,43.73529196,45.58658956,45.28077709,49.35024393,53.11549006,46.6596014,42.5341016,43.46854118,40.35274119,41.74702605,40.66550955,33.9038882,34.14270258,35.47924655,39.17315473,36.91418092,37.00918764,39.76575393,35.03834078,39.20193206,42.59646734,46.05875859
Andorra,AND,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5409243,79.69427154,84.39211425,69.32926933,66.98805826,73.96715887,72.0761864,62.66138276,61.63893371,59.75090808,65.18671683,63.72412143,68.39429298,82.78331187,91.34749773,91.59219201,92.77426827,101.7574153,109.5754169,103.4146791,97.47717154,100.4760094,91.20388328,93.11780848,91.47326928,76.19252285,75.55961483,76.61881617,77.50935228,71.78382749,71.71606996,71.50535054,61.9552137,65.20766802,65.46525622,68.23387099
Arab World,ARB,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.19609864,29.44513599,29.30921806,28.99655887,28.31582759,28.8180616,29.93370468,29.14603582,27.58461777,29.49629121,32.14822703,30.70168006,31.37187013,32.01738894,33.82952698,38.22190191,41.51385738,45.48487938,52.89561699,44.58946687,52.62595443,57.9062865,59.57712655,60.83568647,60.27274977,60.70107367,61.04149338,62.22601567,60.86204716,57.55542005,56.88181047,64.33130528,67.62578526,63.89515432,63.36163095,
Argentina,ARG,Price level index (GDP),PA.NUS.GDP.PLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.28427017,71.71540388,78.33538784,73.1791622,73.61714865,74.38754711,73.01191009,71.4412314,69.44251805,67.2159934,66.40892447,64.23486689,25.81713658,30.37005885,35.00687492,37.63627078,39.54154681,43.66576857,51.7696129,50.36582203,57.48742109,66.49719553,66.64662395,65.0493382,62.77457743,68.74477828,63.16578659,62.14434419,48.1467071,42.33553755,38.11667374,40.82853972,46.84656561,47.15220088,45.83956017,45.71840673
