country,iso3,qualifying_program_found,program_name,program_type,program_url,legal_or_official_basis,announcement_date,launch_or_effective_date,status_during_observation_period,discovery_evidence_span,discovery_source_title,discovery_source_institution,discovery_source_url,source_publication_date,source_access_date,primary_or_secondary_source,Unnamed: 17,qualifying,announcement_precision,effective_precision,announcement_date_parsed,effective_date,adoption_year,adoption_month,first_full_exposure_year,calendar_year_exposure
Afghanistan,AFG,no,,,,,,,,,Guidance for Certain Afghan Nationals to Maintain Parole and Employment Authorization for up to Two Years | USCIS,U.S. Citizenship and Immigration Services,https://www.uscis.gov/i-9-central/special-employment-categories/guidance-for-certain-afghan-nationals-to-maintain-parole-and-employment-authorization-for-up-to-two,,8/11/26,primary,,False,missing,missing,,,,,,
Albania,ALB,no,,,,,,,,2022-2026,"Albania Digital Nomad Visa 2026: Requirements, Costs & How to Apply in July 2026 | Citizen Remote",Citizen Remote,https://citizenremote.com/visas/albania-digital-nomad-visa,,8/11/26,secondary,,False,missing,missing,,,,,,
Algeria,DZA,no,,,,,,,,,Algeria International Travel Information,U.S. Department of State,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Algeria.html,,8/11/26,secondary,,False,missing,missing,,,,,,
American Samoa,ASM,no,,,,,,,,,Know Before You Go - National Park of American Samoa,U.S. National Park Service,https://www.nps.gov/npsa/planyourvisit/know-before-you-go.htm,,8/11/26,secondary,,False,missing,missing,,,,,,
Andorra,AND,no,,,,,,,,,Investment Opportunities in Andorra - United States Department of State,United States Department of State,https://2021-2025.state.gov/direct-line-for-american-business/investment-opportunities-in-andorra,,8/11/26,secondary,,False,missing,missing,,,,,,
Angola,AGO,no,,,,,,,,,Digital Nomad Visa Countries - Official Requirements | TripPlugin,TripPlugin,https://tripplugin.com/digital-nomad-visa,,8/11/26,secondary,,False,missing,missing,,,,,,
Antigua and Barbuda,ATG,yes,Nomad Digital Residence Visa,Digital Nomad Visa / Residence Permit,,,2020,2020,active,2020-2025,Antigua and Barbuda - United States Department of State,United States Department of State,https://www.state.gov/reports/2025-investment-climate-statements/antigua-and-barbuda,2025,8/11/26,primary,,True,year,year,2020-01-01,2020-01-01,2020,1,,2020
Argentina,ARG,yes,Digital Nomad Visa,Digital Nomad Visa / Temporary Residence,https://ctoro.cancilleria.gob.ar/en/visa-digital-nomads,"Disposición 758/2022, Article 24(h) of Migration Law 25,871",2022-05,2022-05,active,2022-2026,Visa for Digital Nomads,Consulate General in Toronto Argentine Republic,https://ctoro.cancilleria.gob.ar/en/visa-digital-nomads,,8/11/26,primary,,True,month,month,2022-05-01,2022-05-01,2022,5,2023,2022
Armenia,ARM,no,,,,,,,,,Investment Climate Statements: Custom Report Excerpts,U.S. Department of State,https://www.state.gov/report/custom/7ec665f7e5,,8/11/26,secondary,,False,missing,missing,,,,,,
Aruba,ABW,no,,,,,,,,,Digital Nomad Visa For Aruba | Citizen Remote,Citizen Remote,https://citizenremote.com/visas/aruba,,8/11/26,secondary,,False,missing,missing,,,,,,
Australia,AUS,no,,,,,,,,,About Australia | Australian Government,Department of Foreign Affairs and Trade,https://www.dfat.gov.au/about-australia,,8/11/26,primary,,False,missing,missing,,,,,,
Austria,AUT,no,,,,,,,,2026,Working remotely from Austria in 2026: what the Red-White-Red Card can (and can't) do for you,Remote Work Europe,https://remoteworkeurope.eu/insights/austria-red-white-red-card-remote-work,2026,8/11/26,secondary,,False,missing,missing,,,,,,
Azerbaijan,AZE,no,,,,,,,,,State Migration Service,State Migration Service of the Republic of Azerbaijan,https://migration.gov.az/en/page/75,,8/11/26,primary,,False,missing,missing,,,,,,
Bahrain,BHR,no,,,,,,,,,Investment Climate Statements: Custom Report Excerpts,U.S. Department of State,https://www.state.gov/report/custom/7ec665f7e5,,8/11/26,secondary,,False,missing,missing,,,,,,
Bangladesh,BGD,no,,,,,,,,,"Visa - Consulate General of the People's Republic of Bangladesh, Dubai","Consulate General of the People's Republic of Bangladesh, Dubai",https://bcgdubai.gov.bd/visa-consulate-general-of-the-peoples-republic-of-bangladesh-dubai,,8/11/26,primary,,False,missing,missing,,,,,,
Barbados,BRB,yes,Barbados Welcome Stamp,Digital Nomad Visa,,"Remote Employment Act, 2020",2020-07,2020,active,2020-2026,Barbados - United States Department of State,United States Department of State,https://2021-2025.state.gov/reports/2024-investment-climate-statements/barbados,,8/11/26,primary,,True,month,year,2020-07-01,2020-01-01,2020,1,,2020
Belarus,BLR,no,,,,,,,,,"Travel Visas, Belarus | Belarus.by",Official website of the Republic of Belarus,https://www.belarus.by/en/travel/travel-visas,,8/11/26,secondary,,False,missing,missing,,,,,,
Belgium,BEL,no,,,,,,,,,Belgium Digital Nomad Visa in July 2026 | Citizen Remote,Citizen Remote,https://citizenremote.com/visas/belgium-digital-nomad-visa,,8/11/26,secondary,,False,missing,missing,,,,,,
Belize,BLZ,no,,,,,,,,,"Belize Digital Nomad Visa: Requirements, Income & How to Apply | Citizen Remote",Citizen Remote,https://citizenremote.com/visas/belize-digital-nomad-visa,,8/11/26,secondary,,False,missing,missing,,,,,,
Benin,BEN,no,,,,,,,,2026,Benin Work Permits & Visas: Types & How to Sponsor,Playroll,https://www.playroll.com/work-permit-visas/benin,,8/11/26,secondary,,False,missing,missing,,,,,,
Bermuda,BMU,yes,Work from Bermuda Certificate,Digital Nomad Visa / Residence Permit,,,2020,2020,active,2020-2026,Digital Nomadism: the nexus of remote working and travel mobility,National Institutes of Health (PMC),https://pmc.ncbi.nlm.nih.gov/articles/PMC7561234,2020,8/11/26,primary,,True,year,year,2020-01-01,2020-01-01,2020,1,,2020
Bhutan,BTN,no,,,,,,,,,S.H. v. THE UNITED KINGDOM,European Court of Human Rights,https://hudoc.echr.coe.int/eng?i=001-99407,,8/11/26,secondary,,False,missing,missing,,,,,,
Bolivia,BOL,no,,,,,,,,2026,"Working Visa Bolivia 2026: Employer Work Permits, 10% Flat Tax, No Digital Nomad Visa",GoResident,https://goresident.com/working-visa/bolivia,,8/11/26,secondary,,False,missing,missing,,,,,,
Bosnia and Herzegovina,BIH,no,,,,,,,,2026,Residence Permits and Work Options - Bosnia and Herzegovina 2026,TaxRavens,https://taxravens.com/en/bosnia-and-herzegovina/residence-work-permits,,8/11/26,secondary,,False,missing,missing,,,,,,
Botswana,BWA,no,,,,,,,,,Botswana - Business Travel,International Trade Administration,https://www.trade.gov/country-commercial-guides/botswana-business-travel,,8/11/26,secondary,,False,missing,missing,,,,,,
Brazil,BRA,yes,VITEM XIV,Digital Nomad Visa,,Normative Resolution No. 45/2021,2021,1/24/22,active,2021-2026,Brazil Digital Nomad Visa Requirements 2026: Checklist,GetBrazilVisa,https://getbrazilvisa.com/requirements-digital-nomad-visa-brazil,2026,8/11/26,primary,,True,year,day,2021-01-01,2022-01-24,2022,1,2022,2022
