iso3,qualifying,full_exposure_year,calendar_exposure_year
ABW,False,,
AFG,False,,
AGO,False,,
ALB,False,,
AND,False,,
ARE,False,,
ARG,True,2023,2022
ARM,False,,
ASM,False,,
ATG,True,,2020
AUS,False,,
AUT,False,,
AZE,False,,
BDI,False,,
BEL,False,,
BEN,False,,
BFA,False,,
BGD,False,,
BGR,True,2026,2025
BHR,False,,
BIH,False,,
BLR,False,,
BLZ,False,,
BMU,True,,2020
BOL,False,,
BRA,True,2022,2022
BRB,True,,2020
BRN,False,,
BTN,False,,
BWA,False,,
CAF,False,,
CAN,False,,
CHE,False,,
CHL,False,,
CHN,False,,
CMR,False,,
COD,False,,
COG,False,,
COL,False,,
COM,False,,
CPV,True,2021,2020
CRI,False,,
CUB,False,,
CYM,False,,
CYP,False,,
CZE,False,,
DEU,False,,
DJI,False,,
DMA,True,2022,2021
DNK,False,,
DOM,False,,
DZA,False,,
ECU,True,2023,2022
EGY,False,,
ERI,False,,
ESP,True,,2023
EST,True,2021,2020
ETH,False,,
FIN,False,,
FJI,False,,
FRA,False,,
FSM,False,,
GBR,False,,
GEO,False,,
GHA,False,,
GIN,False,,
GMB,False,,
GNB,False,,
GNQ,False,,
GRC,True,2022,2021
GRD,False,,
GTM,True,2026,2025
GUM,False,,
GUY,False,,
HKG,False,,
HND,False,,
HRV,True,2021,2021
HTI,False,,
HUN,True,2022,2021
IDN,False,,
IND,False,,
IRL,False,,
IRN,False,,
IRQ,False,,
ISL,True,2021,2020
ISR,False,,
ITA,False,,
JAM,False,,
JOR,False,,
JPN,True,2025,2024
KAZ,True,,
KEN,False,,
KGZ,True,,2025
KHM,False,,
KIR,False,,
KNA,False,,
KOR,True,2027,2026
KWT,False,,
LAO,False,,
LBN,False,,
LCA,False,,
LKA,False,,
LSO,False,,
LTU,False,,
LUX,False,,
LVA,False,,
MAC,False,,
MAR,False,,
MCO,False,,
MDA,True,2026,2025
MDG,False,,
MDV,False,,
MEX,False,,
MHL,False,,
MKD,False,,
MLI,False,,
MLT,False,,
MMR,False,,
MNE,True,,2021
MNG,False,,
MNP,False,,
MOZ,False,,
MUS,True,2021,2020
MWI,False,,
MYS,True,2023,2022
NAM,True,2023,2022
NCL,False,,
NER,False,,
NGA,False,,
NIC,False,,
NOR,False,,
NPL,True,,2026
NRU,False,,
NZL,False,,
OMN,False,,
PAK,False,,
PAN,False,,
PER,False,,
PHL,True,2026,2025
PLW,False,,
PNG,False,,
POL,False,,
PRT,True,2023,2022
PRY,False,,
PYF,False,,
QAT,False,,
ROU,True,2022,2022
RUS,False,,
RWA,False,,
SAU,False,,
SDN,False,,
SEN,False,,
SGP,False,,
SLB,False,,
SLE,False,,
SLV,False,,
SMR,False,,
SRB,False,,
STP,False,,
SUR,False,,
SVK,False,,
SVN,True,2026,2025
SWE,False,,
SWZ,False,,
SYC,False,,
SYR,False,,
TCD,False,,
TGO,False,,
THA,True,2025,2024
TJK,False,,
TLS,False,,
TON,False,,
TTO,False,,
TUN,False,,
TUV,False,,
TZA,False,,
UGA,False,,
UKR,False,,
URY,True,2024,2023
USA,False,,
UZB,False,,
VCT,False,,
VEN,False,,
VGB,False,,
VNM,False,,
VUT,False,,
WSM,False,,
ZAF,True,2025,2024
ZMB,False,,
ZWE,False,,
