iso3,Missing_Percent
VGB,51.11111111111111
MNP,50.0
NRU,45.0
AND,40.66666666666667
ASM,40.0
AFG,40.0
GNQ,40.0
ISL,40.0
SMR,40.0
IRQ,40.0
CPV,40.0
ERI,38.57142857142858
TLS,36.666666666666664
KNA,35.55555555555555
SAS,35.29411764705882
KIR,35.0
EST,35.0
BGD,35.0
MCO,34.66666666666667
DMA,34.61538461538461
DEU,34.0
HRV,33.75
SRB,33.33333333333333
WLD,32.94117647058823
SSF,32.94117647058823
GRD,32.85714285714286
MHL,32.857142857142854
TUV,32.50000000000001
IRN,32.5
AUT,32.5
QAT,32.0
MKD,31.764705882352946
CUB,31.538461538461537
NGA,31.538461538461537
KGZ,31.333333333333336
ATG,31.333333333333336
LBN,31.25
CYM,30.909090909090907
MDV,30.76923076923077
MNE,30.0
SYC,30.0
TCD,30.0
GNB,30.0
DJI,30.0
NOR,29.411764705882348
MDA,29.09090909090909
CHN,28.999999999999996
SWE,28.749999999999996
PLW,28.46153846153846
CAN,28.235294117647058
KEN,28.18181818181818
BDI,27.500000000000004
PAK,27.142857142857146
ETH,27.142857142857146
STP,27.142857142857146
ABW,26.66666666666667
TUN,26.666666666666668
CAF,26.36363636363636
CZE,26.25
PRT,25.882352941176475
LCA,25.714285714285722
BOL,25.71428571428572
GEO,25.0
CMR,25.0
BIH,25.0
LVA,24.70588235294117
BMU,24.666666666666668
BFA,24.666666666666668
GUM,24.666666666666668
SVK,24.666666666666668
VCT,24.615384615384617
TJK,24.545454545454547
GMB,24.0
ROU,23.52941176470588
MAC,23.333333333333332
COD,23.333333333333332
GRC,22.941176470588236
BTN,22.66666666666667
RUS,22.666666666666664
BRB,22.666666666666664
MYS,22.5
GUY,22.5
COM,22.30769230769231
MDG,22.30769230769231
PNG,22.30769230769231
PYF,22.30769230769231
COG,22.222222222222225
TON,22.142857142857146
ZMB,22.142857142857146
UKR,22.142857142857146
SEN,22.000000000000004
SDN,22.000000000000004
MLT,21.999999999999996
CHE,21.875
JOR,21.875
NIC,21.538461538461537
ZWE,21.538461538461537
GTM,21.538461538461537
KHM,21.428571428571427
GHA,21.428571428571427
SUR,21.428571428571427
UZB,21.428571428571427
AZE,21.428571428571427
VEN,21.25
LAO,20.909090909090907
NER,20.909090909090907
BEN,20.909090909090907
BLZ,20.833333333333336
BWA,20.71428571428571
BRA,20.666666666666664
FIN,20.0
TZA,20.0
TGO,20.0
KOR,20.0
LSO,20.0
SYR,20.0
ARE,20.0
ESP,19.411764705882355
UGA,19.285714285714285
MMR,19.230769230769234
AGO,19.23076923076923
VUT,19.166666666666668
FSM,19.090909090909093
SLB,19.090909090909093
SGP,19.0
IRL,19.0
BLR,18.666666666666664
MLI,18.333333333333332
BRN,17.857142857142854
CYP,17.647058823529413
LUX,17.5
SLE,17.5
NCL,17.333333333333336
DOM,17.333333333333332
TTO,17.333333333333332
HTI,17.333333333333332
PRY,17.058823529411764
FRA,16.875
PAN,16.47058823529412
NPL,16.153846153846153
EGY,15.999999999999998
JAM,15.999999999999998
SWZ,15.882352941176473
MOZ,15.625
BHR,15.454545454545457
ITA,15.333333333333332
ARM,15.333333333333332
KWT,15.333333333333332
LTU,15.294117647058824
URY,15.0
COL,14.705882352941178
BEL,14.705882352941178
WSM,14.374999999999998
IDN,14.374999999999998
MWI,14.166666666666666
ALB,14.117647058823529
OMN,14.117647058823529
BGR,13.999999999999998
THA,13.999999999999998
NAM,13.999999999999998
MAR,13.636363636363638
HND,13.529411764705884
RWA,13.333333333333334
CRI,13.333333333333334
KAZ,13.125
LKA,13.07692307692308
AUS,12.941176470588237
MNG,12.941176470588237
HKG,12.941176470588234
IND,12.5
ISR,11.76470588235294
CHL,11.76470588235294
ARG,11.333333333333332
SLV,11.333333333333332
GIN,11.25
POL,10.588235294117647
SVN,10.588235294117647
ECU,10.588235294117647
DZA,10.0
FJI,10.0
PER,8.823529411764705
NZL,8.235294117647058
ZAF,8.235294117647058
DNK,8.125
HUN,7.647058823529411
MEX,7.0588235294117645
SAU,7.0588235294117645
MUS,7.0588235294117645
PHL,7.0588235294117645
JPN,5.625
